Date,Oil Investments,Gold Investments,Comp Stock,Other sharesInvestments
17-08-2010,0.007848876,0.002043318,0.017485075,0.02213057
18-08-2010,-0.004883844,-0.006525286,0.004365603,0.00613063
19-08-2010,-0.012468497,0.01272578,-0.012605227,-0.016043148
20-08-2010,-0.013431833,-0.008107013,-0.000960497,0.001489394
23-08-2010,-0.010074881,0.002043318,-0.015382166,-0.009079555
24-08-2010,-0.020217302,-0.003262643,-0.023881164,-0.016350703
25-08-2010,0.011650758,0.012684124,0.012336869,0.018630041
26-08-2010,0.017899265,-0.00040404,-0.010745573,-0.015687797
27-08-2010,0.024672846,-0.001616815,0.00557684,0.014255951
30-08-2010,-0.006385526,-1,0.003642074,-0.022504722
31-08-2010,-0.036952738,0,0.002474276,0.008401333
01-09-2010,0.028360906,0.000401284,0.029740813,0.061363477
02-09-2010,0.013789374,0.001604493,0.007350238,0.020529866
03-09-2010,-0.006267502,-0.006407689,0.026172901,0.026477227
07-09-2010,-0.007246377,0.013099557,-0.003709835,-0.011311997
08-09-2010,0.009056502,-0.001392481,0.01982077,0.013992115
09-09-2010,-0.005358339,0,0.000570501,0.008911931
10-09-2010,0.028956229,-0.006772908,0.001292447,0.014674433
13-09-2010,0.010078534,-0.002206177,0.01378076,0.01846395
14-09-2010,-0.005053777,0.017487437,0.003819645,0.004687344
15-09-2010,-0.011200834,0.001185302,0.008057886,-0.00205834
16-09-2010,-0.017650158,0.004340963,0.023499349,0.018425631
17-09-2010,-0.012738,0.001178782,-0.004338851,0.001282671
20-09-2010,0.016026076,0.004120879,0.028543488,0.020091666
21-09-2010,-0.024729314,-0.003322259,0.001906507,-0.003767396
22-09-2010,0.000274123,0.014509804,0.014025482,0.007297857
23-09-2010,0.005755001,-0.002126015,0.004065984,0.006718066
24-09-2010,0.016757493,0.004842146,0.011767957,0.051553744
27-09-2010,0.025190942,0,-0.003968247,-0.008461401
28-09-2010,-0.004705267,-0.00231303,-0.014768472,0.002070666
29-09-2010,0.02232436,0.010432767,0.001777843,-0.004445786
30-09-2010,0.026974952,-0.000382409,-0.012597004,-0.012139172
01-10-2010,0.020262664,0.007077276,-0.004334746,-0.021329371
04-10-2010,-0.001716317,-0.002089269,-0.013733573,0.01092962
05-10-2010,0.017192681,0.01294252,0.036965246,0.035266079
06-10-2010,0.00458771,0.012025554,0.000865297,-0.034002618
07-10-2010,-0.02247326,-0.001113999,0.000103672,0.00559852
08-10-2010,0.016228178,-0.002602231,0.016769214,-0.004607417
11-10-2010,-0.00580692,0.007454342,0.004386765,-0.016200604
12-10-2010,-0.00620589,-0.002219756,0.010766505,0.02254458
13-10-2010,0.016652382,0.0126066,0.005359453,-0.008371664
14-10-2010,-0.003854029,0.005675577,0.007229889,0.002320043
15-10-2010,-0.017893846,-0.004187147,0.041116753,0.058573909
18-10-2010,0.022528622,-0.000182815,0.01035775,-0.006559773
19-10-2010,-0.042017818,-0.020661913,-0.026761001,-0.029897286
20-10-2010,0.029659419,0,0.003360357,0
21-10-2010,-0.023190529,0.003360717,-0.003252443,0.039705068
22-10-2010,0.013994752,-0.015630815,-0.006623178,0.02521673
25-10-2010,0.01047443,0.011342155,0.00445569,-0.000768669
26-10-2010,0.007317073,-0.005981308,-0.002557978,0.005621284
27-10-2010,-0.008474576,-0.003760812,-0.000714089,-0.014357176
28-10-2010,0.003663004,0.006795017,-0.008413803,-0.003999755
29-10-2010,-0.009124088,0.009936258,-0.013956199,-0.009649964
01-11-2010,0.018293432,0.005754594,0.010631916,-0.016038214
02-11-2010,0.011695201,-0.002583979,0.017029414,0.012486154
03-11-2010,0.006435467,-0.004071059,0.011119741,0.023449365
04-11-2010,0.024156306,0.026384244,0.017487222,0.002730409
05-11-2010,0.004162331,0.010499638,-0.003581861,0.010892151
08-11-2010,0.002533103,-0.005016123,0.004698363,0.007144118
09-11-2010,-0.00034455,0.023406554,-0.007971898,-0.010000587
10-11-2010,0.008386949,-0.021463758,0.006169359,0.017971445
11-11-2010,0,0.005753326,-0.004339238,-0.017077292
12-11-2010,-0.032813034,-0.007150518,-0.027222517,-0.027528333
15-11-2010,-0.0001178,-0.014404033,-0.003213914,-0.040922256
16-11-2010,-0.030042413,-0.014249178,-0.017750143,-0.007048427
17-11-2010,-0.023077857,-0.008524833,-0.003614218,0.00361267
18-11-2010,0.018028099,0.00953271,0.026389372,0.036753974
19-11-2010,-0.002808989,-0.005739678,-0.005511737,0.003959365
22-11-2010,-0.005021433,0.010428305,0.021615035,0.033794392
23-11-2010,-0.005539143,0.015481017,-0.014775304,-0.012852879
24-11-2010,0.029954202,-0.003629764,0.019661173,0.053805013
26-11-2010,0.007931739,-0.012750455,0.000635337,-0.000282104
29-11-2010,0.022177179,0.001476015,0.005936511,0.012923296
30-11-2010,-0.01877989,0.019528371,-0.018051548,-0.022786845
01-12-2010,0.03126486,0.001445609,0.016872891,0.006556494
02-12-2010,0.014178674,0.002526164,0.005530973,-0.000113305
03-12-2010,0.013639464,0.010439165,-0.002231661,-0.00481508
06-12-2010,0.001681992,0.008371927,0.008537027,0.013490495
07-12-2010,-0.007164446,0.003356298,-0.006059641,-0.007188986
08-12-2010,-0.004397339,-0.024295775,0.008799177,-0.002715455
09-12-2010,0.000566251,0.004150126,-0.003893929,-0.008168286
10-12-2010,-0.006112054,-0.011500449,0.002501861,0.004403712
13-12-2010,0.009224462,0.017269587,0.003462725,-0.007800906
14-12-2010,-0.003272399,-0.003216583,-0.004290136,-0.001779042
15-12-2010,0.00373599,-0.004123342,0.00021853,0.009371076
16-12-2010,-0.010715091,-0.018541854,0.00277815,0.014068382
17-12-2010,0.003534375,0.004035216,-0.001992184,-0.002583639
20-12-2010,0.007498296,0.008403361,0.004990434,0.032154471
21-12-2010,0.00699143,0.002173913,0.006176103,0.007965558
22-12-2010,0.00593505,0.002892263,0.002961117,5.41E-05
23-12-2010,0.01124346,-0.009733237,-0.004797571,-0.011744961
27-12-2010,0.001651255,-1,0.003337438,-0.002464522
28-12-2010,0.005385207,0,0.002433183,-0.005764813
29-12-2010,-0.003825973,0,-0.000553062,0.012590419
30-12-2010,-0.014045869,-0.004955752,-0.00501091,-0.003381115
31-12-2010,0.017028381,-1,-0.00339861,-0.01504788
03-01-2011,0.002298096,0,0.021732356,0.02344445
04-01-2011,-0.02402009,0,0.005218958,0.004288318
05-01-2011,0.01018011,-0.014764134,0.008180126,0.01302634
06-01-2011,-0.0213732,0.000365497,-0.000808437,-0.008323536
07-01-2011,-0.003394817,-0.001096091,0.007161508,-0.001990724
10-01-2011,0.013284887,0.000914411,0.018832566,-0.004366877
11-01-2011,0.020954729,0.004202448,-0.002365323,-0.001841006
12-01-2011,0.00812205,0.00345706,0.008137244,-0.001410405
13-01-2011,-0.005008166,0.00199456,0.003658324,0.007876994
14-01-2011,0.001531896,-0.010495838,0.008099936,0.017355689
18-01-2011,-0.001638807,0.001828822,-0.02246894,0.013245033
19-01-2011,-0.005799956,0.001825484,-0.005313383,-0.022901987
20-01-2011,-0.025206384,-0.019314869,-0.018179692,-0.026274887
21-01-2011,-0.003839205,-0.001486436,-0.017915122,-0.024950587
24-01-2011,-0.016776241,-0.000372162,0.032841552,-0.003212671
25-01-2011,-0.019137653,-0.014147431,0.011705423,-0.000848227
26-01-2011,0.012576399,0.003021148,0.007176374,-0.007413684
27-01-2011,-0.019733024,0.004894578,-0.001861306,0.051656298
28-01-2011,0.043812907,-0.011614837,-0.020716154,-0.072160467
31-01-2011,0.032217811,0.006065201,0.009580461,-0.008764754
01-02-2011,-0.015935817,0.003391108,0.016827809,0.014560257
02-02-2011,0.002680366,0.00413068,-0.002057801,0.008250526
03-02-2011,-0.004009802,-0.006731488,-0.002555736,0.001037331
04-02-2011,-0.01733393,0.020331325,0.008909815,0.012779839
07-02-2011,-0.017867304,-0.005535055,0.015526667,0.00284204
08-02-2011,-0.005214369,0.01187384,0.0094351,0.037578673
09-02-2011,-0.003028538,0.00110011,0.008333291,0.012236453
10-02-2011,-0.001752541,-0.008608059,-0.010107218,0.004910977
11-02-2011,-0.012289326,0.007943839,0.006515524,0.016325616
14-02-2011,-0.008650314,0.000733138,0.006529312,0.006182288
15-02-2011,-0.006335166,0.005677656,0.002004622,-0.007299648
16-02-2011,0.008059666,-0.001092697,0.008974645,-0.01274932
17-02-2011,0.014916468,0.005651778,-0.013300983,0.00610867
18-02-2011,-0.000235156,0.003263234,-0.021601984,-0.006710668
22-02-2011,0.08961543,0.012649078,-0.034088377,-0.032600547
23-02-2011,0.036589315,0.005888651,0.01184253,-0.020729437
